video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,trajectory_length_ratio
14,CoTracker3,strong,18.435754189944134,1.1302475780409043,0.5504587155963303,5.382131324004305,1.2003693444136658,17.976318622174382,3.5916824196597354,43.43379978471475,7.1358748778103624,70.18299246501614,9.70970970970971,4.437619013437962,27.6210979547901,13.470909118652344,0.210630871983777
15,CoTracker3,none,100.0,48.4,31.926121372031663,83.46666666666667,71.62471395881008,96.26666666666667,92.80205655526991,100.0,100.0,100.0,100.0,79.27057837722232,85.62666666666668,2.8256027698516846,1.0052705627705627
15,CoTracker3,medium,94.63350785340315,35.333333333333336,22.018348623853214,72.53333333333333,55.30785562632696,88.53333333333333,76.05294825511432,97.2,89.50777202072538,99.2,93.00791556728231,67.17896801866044,78.56,2.697629928588867,0.9374708911777876
15,CoTracker3,strong,84.9476439790576,10.4,4.344569288389513,35.86666666666667,20.397579948141743,76.4,58.47554038680318,95.19999999999999,84.74801061007958,96.8,84.74801061007958,50.542742168698716,62.93333333333333,2.9765257835388184,0.8473350500074638
16,CoTracker3,none,99.59183673469387,95.91836734693877,91.76470588235294,100.0,99.59183673469387,100.0,99.59183673469387,100.0,99.59183673469387,100.0,99.59183673469387,98.0264105642257,99.18367346938777,3.271685838699341,0.9280000000000002
16,CoTracker3,medium,100.0,97.14285714285714,94.44444444444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.88888888888889,99.42857142857143,3.4835166931152344,1.0
16,CoTracker3,strong,45.30612244897959,10.204081632653061,1.4245014245014245,58.36734693877551,18.666666666666668,94.28571428571428,42.4,100.0,45.30612244897959,100.0,45.30612244897959,30.620682597825454,72.57142857142857,3.305041790008545,0.41200000000000003
17,CoTracker3,none,76.15526802218115,30.295566502463057,17.962003454231436,48.275862068965516,30.842911877394634,71.92118226600985,51.77777777777778,88.91625615763546,62.23277909738717,100.0,68.22660098522168,46.20841463840254,67.88177339901478,10.90866470336914,0.6701443001443003
17,CoTracker3,medium,51.940850277264325,2.4630541871921183,0.546448087431694,18.226600985221676,8.875739644970414,40.39408866995074,22.666666666666664,68.22660098522168,35.294117647058826,97.78325123152709,35.960591133004925,20.66871263582651,45.41871921182266,12.562390327453613,0.4447041847041847
17,CoTracker3,strong,41.21996303142329,1.9704433497536946,1.4373716632443532,4.433497536945813,2.066115702479339,14.77832512315271,6.236559139784946,30.78817733990148,13.302752293577983,46.55172413793103,17.61904761904762,8.132369283626847,19.704433497536943,11.018377304077148,0.30281385281385276
18,CoTracker3,none,83.9202657807309,36.37236084452975,22.745098039215687,57.77351247600768,37.18042366691015,82.43761996161228,55.33498759305211,95.96928982725528,71.5068493150685,99.80806142034548,76.8361581920904,52.72070336126736,74.4721689059501,14.860135078430176,0.7487107055068841
18,CoTracker3,medium,56.74418604651162,10.076775431861803,6.515373352855051,23.80038387715931,10.899390243902438,51.82341650671785,22.992392223161453,68.2341650671785,27.51971954425942,77.35124760076776,28.875110717449072,19.360397216325488,46.257197696737045,9.753072738647461,0.5654282084296488
18,CoTracker3,strong,57.475083056478404,6.046065259117082,4.140350877192982,10.9404990403071,7.380607814761215,18.042226487523994,12.084592145015106,32.72552783109405,16.57501963864886,50.38387715930902,25.443786982248522,13.124871491573337,23.627639155470252,14.24395751953125,0.7285558617081537
19,CoTracker3,none,75.87768969422424,20.993227990970656,11.006711409395974,43.115124153498876,24.174174174174173,68.17155756207674,37.147595356550575,92.7765237020316,54.2910447761194,98.64559819413093,59.03846153846154,37.13159745094033,64.74040632054174,10.41735553741455,0.8406132299073477
19,CoTracker3,medium,68.62967157417894,3.160270880361174,1.118881118881119,16.93002257336343,7.429420505200595,41.309255079006775,21.105527638190953,67.49435665914221,37.97709923664122,88.48758465011286,44.02390438247012,22.3309665762768,43.47629796839729,8.13165283203125,0.6865436491612962
19,CoTracker3,strong,63.7599093997735,0.2257336343115124,0.16474464579901155,0.6772009029345373,0.33003300330033003,6.772009029345373,4.4673539518900345,18.058690744920995,11.151736745886655,48.75846501128668,22.08835341365462,7.6404443521061305,14.89841986455982,4.286440372467041,0.8832021344668403
20,CoTracker3,none,96.52173913043478,40.65573770491803,25.40983606557377,52.78688524590164,35.59822747415066,69.94535519125684,52.36514522821577,82.73224043715847,67.51824817518248,92.02185792349727,81.60237388724035,52.498766166072606,67.62841530054644,17.397497177124023,1.0776553381606575
20,CoTracker3,medium,97.3913043478261,27.431693989071036,15.802781289506953,48.63387978142077,31.798561151079134,63.934426229508205,46.56,78.0327868852459,63.13446126447017,90.05464480874316,80.84896347482726,47.6289534359767,61.617486338797825,12.257906913757324,0.9924735369854268
20,CoTracker3,strong,85.21739130434783,4.808743169398907,2.491506228765572,18.360655737704917,10.097323600973237,41.63934426229508,25.259515570934255,61.53005464480874,41.07560405300078,75.30054644808743,52.87162162162162,26.359114215059094,40.32786885245901,10.093802452087402,0.9952858142876916
21,CoTracker3,none,95.8128078817734,70.19704433497537,55.780535597648594,85.0574712643678,75.88495575221239,98.60426929392446,94.53507340946167,100.0,95.8128078817734,100.0,95.8128078817734,83.5652361045739,90.77175697865354,6.906656265258789,0.9203145235892691
21,CoTracker3,medium,71.10016420361248,27.42200328407225,17.2103487064117,55.993431855500816,36.925098554533506,82.84072249589491,61.80124223602485,99.42528735632183,71.10016420361248,100.0,71.10016420361248,51.627403580838994,73.13628899835797,7.2158355712890625,0.6708373728029602
21,CoTracker3,strong,37.274220032840724,1.2315270935960592,0.4807692307692308,6.814449917898194,2.8923076923076922,26.108374384236456,13.896457765667575,50.41050903119869,27.24505327245053,86.69950738916256,35.9349593495935,16.089909462157706,34.252873563218394,7.102700233459473,0.37097798334875115
22,CoTracker3,none,73.93589069889647,31.909547738693465,17.945823927765236,68.25795644891123,44.53665283540803,90.20100502512562,60.6456571867794,95.14237855946399,61.63959783449343,100.0,61.63959783449343,49.281465923787906,77.10217755443887,10.21142578125,0.8457617816330395
22,CoTracker3,medium,62.27009984235418,17.75544388609715,9.159347553324968,48.15745393634841,21.763470958712386,81.82579564489112,36.68499607227022,94.22110552763819,40.43583535108959,99.91624790619765,41.57851912123678,29.92443381132679,68.37520938023451,6.964661121368408,0.6566807349013665
22,CoTracker3,strong,49.605885444035735,3.1825795644891124,0.6939625260235947,12.562814070351758,3.716940671908506,36.18090452261307,9.262048192771084,77.21943048576215,17.96747967479675,99.32998324958125,20.414937759336098,10.411073764967208,45.69514237855946,6.35141134262085,0.440860004155163
23,CoTracker3,none,87.11458812701335,47.95252225519288,32.600422832980975,79.34718100890208,67.07511987213638,90.08902077151335,78.5876993166287,95.07418397626112,83.28462887200467,96.9139465875371,83.60655737704919,69.03088565415999,81.87537091988129,7.339864730834961,0.8443638161891116
23,CoTracker3,medium,81.0860561435803,23.501483679525222,14.699248120300751,59.82195845697329,48.03493449781659,78.51632047477744,68.56353591160222,92.34421364985164,74.94266055045871,97.0919881305638,76.25649913344887,56.499375642725425,70.25519287833828,6.537328720092773,0.8027055216700956
23,CoTracker3,strong,77.58858720662678,2.967359050445104,1.561969439728353,15.074183976261127,8.526850507982584,45.34124629080119,31.704095112285337,72.87833827893175,57.586933614330874,94.83679525222551,71.60068846815835,34.19610742849709,46.21958456973293,8.194077491760254,0.7741418295473401
24,CoTracker3,none,90.56410256410257,82.2429906542056,64.66512702078522,99.86648865153538,87.87878787878788,100.0,87.87878787878788,100.0,87.87878787878788,100.0,87.87878787878788,83.23605570718735,96.42189586114822,3.9679322242736816,0.8617111111111112
24,CoTracker3,medium,93.23076923076923,12.016021361815755,5.986696230598669,60.747663551401864,38.017324350336864,99.19893190921229,89.68253968253968,100.0,91.2,100.0,91.2,63.21731205269504,74.39252336448598,4.090760707855225,0.9102957264957265
24,CoTracker3,strong,79.28205128205128,0.6675567423230975,0.37230081906180196,2.67022696929239,1.4296463506395787,24.699599465954606,9.77198697068404,50.60080106809078,19.397697077059345,100.0,73.93548387096774,20.981423017682502,35.727636849132175,4.470190525054932,0.7616034188034189
25,CoTracker3,none,65.57377049180327,22.413793103448278,11.970074812967582,46.206896551724135,27.556818181818183,68.27586206896552,42.08860759493671,80.0,46.25407166123778,91.72413793103448,48.675496688741724,35.309013787940394,61.724137931034484,10.292825698852539,1.1438787878787877
25,CoTracker3,medium,55.0351288056206,10.689655172413794,4.979253112033195,29.655172413793103,13.707865168539326,58.27586206896552,24.019607843137255,72.41379310344827,28.75318066157761,77.93103448275862,31.088082901554404,20.50959793736836,49.79310344827586,8.285204887390137,1.9552813852813853
25,CoTracker3,strong,57.377049180327866,1.0344827586206897,0.6342494714587738,2.7586206896551726,1.4925373134328357,13.10344827586207,5.543237250554324,45.51724137931035,13.60381861575179,82.75862068965517,35.22727272727273,11.30022307569409,29.034482758620694,7.957625865936279,1.617121212121212
26,CoTracker3,none,96.24608967674662,29.913606911447083,17.263427109974426,47.19222462203024,29.794762915782023,70.95032397408207,52.452202826267666,91.14470842332614,80.33431661750245,100.0,96.14973262032086,55.198888417969485,67.8401727861771,7.066166877746582,1.107079762820971
26,CoTracker3,medium,91.97080291970804,3.8876889848812093,1.8068887634105024,24.08207343412527,13.111668757841906,44.9244060475162,28.418803418803417,63.60691144708424,44.703049759229536,82.50539956803455,65.71691176470588,30.751464492798252,43.8012958963283,9.568499565124512,1.1072190183555752
26,CoTracker3,strong,79.4577685088634,0.32397408207343414,0.17647058823529413,3.3477321814254863,1.8540669856459329,7.667386609071274,4.031765424557117,26.88984881209503,15.850340136054422,43.196544276457885,27.852852852852855,9.953099197469124,16.285097192224622,7.098065376281738,0.9346133536568874
27,CoTracker3,none,92.25641025641026,31.12278397898884,17.976622329705762,56.66447800393959,38.720379146919434,76.88772160210111,58.903365906623236,91.20157583716349,76.64453832226916,97.63624425476034,86.19592875318067,55.688166891739655,70.70256073539068,9.922492980957031,0.8949604664292913
27,CoTracker3,medium,88.1025641025641,32.04202232435981,19.535462463708004,55.351280367695345,38.757823784304286,75.50886408404465,59.13859745996687,89.62573867367038,73.6144578313253,97.04530531845043,81.82965299684543,54.57519890722998,69.91464215364412,8.009708404541016,0.898957207472464
27,CoTracker3,strong,85.33333333333334,12.541037426132634,6.319702602230483,36.572554169402494,22.065727699530516,63.164806303348655,44.22592032274332,75.96848325673014,57.14285714285714,90.01969796454367,73.43844754396605,40.63853106226551,55.65331582403152,5.630739688873291,0.8453739748545295
28,CoTracker3,none,92.10977701543739,39.656912209889,25.164690382081687,61.453077699293644,42.964635063957864,79.71745711402623,61.42735768903993,96.67003027245207,86.82399213372665,99.79818365287588,90.76305220883533,61.42874549552829,75.45913218970736,8.103506088256836,0.8990139189850317
28,CoTracker3,medium,86.27787307032591,10.99899091826438,5.855072463768115,26.236125126135217,14.915040906230335,48.940464177598386,31.083991385498923,80.62563067608475,57.007738607050726,91.12008072653886,70.49486461251168,35.871341595011955,51.58425832492431,8.07040023803711,0.787055079514284
28,CoTracker3,strong,53.34476843910806,1.3118062563067607,0.8275862068965517,7.669021190716448,4.57796852646638,15.640766902119072,8.456973293768547,28.960645812310798,14.487079091620986,64.37941473259335,31.830477908025244,12.036017005355541,23.592330978809283,8.029620170593262,0.49821437193885126
29,CoTracker3,none,88.2055602358888,39.21232876712329,24.492099322799096,77.1404109589041,61.25730994152047,90.66780821917808,79.20389926888708,95.11986301369863,83.37489609310057,98.03082191780823,85.84667228306655,66.83497538187476,80.03424657534246,7.385478496551514,0.9268204306549134
29,CoTracker3,medium,66.38584667228307,5.650684931506849,2.9613960867266,27.482876712328768,15.138971023063277,73.45890410958904,43.161764705882355,92.2945205479452,63.202011735121545,95.97602739726028,63.888888888888886,37.67060648793653,58.97260273972602,6.620611190795898,0.7062086684707373
29,CoTracker3,strong,42.291491154170174,0.0,0.0,0.5993150684931506,0.3001200480192077,5.650684931506849,3.084515731030228,27.56849315068493,15.003441156228492,48.63013698630137,31.990521327014214,10.075719652458428,16.48972602739726,10.290761947631836,0.6134362403879645
