video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate
14,CoTracker3,strong,18.435754189944134,1.1302475780409043,0.5504587155963303,5.382131324004305,1.2003693444136658,17.976318622174382,3.5916824196597354,43.43379978471475,7.1358748778103624,70.18299246501614,9.70970970970971,4.437619013437962,27.6210979547901,13.470909118652344,3.118479663058003,0.36936936936936937,0.8311205523101434
15,CoTracker3,none,100.0,48.4,31.926121372031663,83.46666666666667,71.62471395881008,96.26666666666667,92.80205655526991,100.0,100.0,100.0,100.0,79.27057837722232,85.62666666666668,2.3613057136535645,0.9815569291023876,0.0,0.0
15,CoTracker3,medium,94.63350785340315,35.333333333333336,22.018348623853214,72.53333333333333,55.30785562632696,88.53333333333333,76.05294825511432,97.2,89.50777202072538,99.2,93.00791556728231,67.17896801866044,78.56,2.2077643871307373,0.9245751843403924,0.14285714285714285,0.05131578947368421
15,CoTracker3,strong,84.9476439790576,10.4,4.344569288389513,35.86666666666667,20.397579948141743,76.4,58.47554038680318,95.19999999999999,84.74801061007958,96.8,84.74801061007958,50.542742168698716,62.93333333333333,2.356405735015869,0.9987989422291405,0.2857142857142857,0.14605263157894738
16,CoTracker3,none,99.59183673469387,95.91836734693877,91.76470588235294,100.0,99.59183673469387,100.0,99.59183673469387,100.0,99.59183673469387,100.0,99.59183673469387,98.0264105642257,99.18367346938777,3.271685838699341,0.9582360703255862,0.0,0.004
16,CoTracker3,medium,100.0,97.14285714285714,94.44444444444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.88888888888889,99.42857142857143,3.4835166931152344,1.0193391487392005,0.0,0.0
16,CoTracker3,strong,45.30612244897959,10.204081632653061,1.4245014245014245,58.36734693877551,18.666666666666668,94.28571428571428,42.4,100.0,45.30612244897959,100.0,45.30612244897959,30.620682597825454,72.57142857142857,3.305041790008545,0.9687338416945975,0.0,0.536
17,CoTracker3,none,76.15526802218115,30.295566502463057,17.962003454231436,48.275862068965516,30.842911877394634,71.92118226600985,51.77777777777778,88.91625615763546,62.23277909738717,100.0,68.22660098522168,46.20841463840254,67.88177339901478,9.864015579223633,0.9462699095521703,0.0,0.31009615384615385
17,CoTracker3,medium,51.940850277264325,2.4630541871921183,0.546448087431694,18.226600985221676,8.875739644970414,40.39408866995074,22.666666666666664,68.22660098522168,35.294117647058826,97.78325123152709,35.960591133004925,20.66871263582651,45.41871921182266,10.651019096374512,1.003513281902241,0.0,0.625
17,CoTracker3,strong,41.21996303142329,1.9704433497536946,1.4373716632443532,4.433497536945813,2.066115702479339,14.77832512315271,6.236559139784946,30.78817733990148,13.302752293577983,46.55172413793103,17.61904761904762,8.132369283626847,19.704433497536943,10.207915306091309,1.0158041117544558,0.0,0.7644230769230769
18,CoTracker3,none,83.9202657807309,36.37236084452975,22.745098039215687,57.77351247600768,37.18042366691015,82.43761996161228,55.33498759305211,95.96928982725528,71.5068493150685,99.80806142034548,76.8361581920904,52.72070336126736,74.4721689059501,10.403081893920898,0.9794492446772245,0.038876889848812095,0.2099343955014058
18,CoTracker3,medium,56.74418604651162,10.076775431861803,6.515373352855051,23.80038387715931,10.899390243902438,51.82341650671785,22.992392223161453,68.2341650671785,27.51971954425942,77.35124760076776,28.875110717449072,19.360397216325488,46.257197696737045,6.686892032623291,0.6826323681827817,0.023758099352051837,0.5998125585754451
18,CoTracker3,strong,57.475083056478404,6.046065259117082,4.140350877192982,10.9404990403071,7.380607814761215,18.042226487523994,12.084592145015106,32.72552783109405,16.57501963864886,50.38387715930902,25.443786982248522,13.124871491573337,23.627639155470252,7.013483047485352,0.6354394581110023,0.04319654427645788,0.5810684161199625
19,CoTracker3,none,75.87768969422424,20.993227990970656,11.006711409395974,43.115124153498876,24.174174174174173,68.17155756207674,37.147595356550575,92.7765237020316,54.2910447761194,98.64559819413093,59.03846153846154,37.13159745094033,64.74040632054174,8.611862500508627,0.9535447912325271,0.175,0.2905982905982906
19,CoTracker3,medium,68.62967157417894,3.160270880361174,1.118881118881119,16.93002257336343,7.429420505200595,41.309255079006775,21.105527638190953,67.49435665914221,37.97709923664122,88.48758465011286,44.02390438247012,22.3309665762768,43.47629796839729,7.352991417050362,0.8797893956966094,0.12954545454545455,0.4700854700854701
