video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate,trajectory_length_ratio,visibility_bias
19,CoTracker3,none,75.87768969422424,20.993227990970656,11.006711409395974,43.11512415349888,24.174174174174173,68.17155756207674,37.147595356550575,92.7765237020316,54.2910447761194,98.64559819413093,59.03846153846154,37.13159745094033,64.74040632054174,8.611862500508627,0.9535447912325272,0.175,0.2905982905982906,,-0.11559829059829063
19,CoTracker3,medium,68.62967157417894,3.160270880361174,1.118881118881119,16.93002257336343,7.429420505200595,41.309255079006775,21.105527638190956,67.49435665914221,37.97709923664122,88.48758465011286,44.02390438247012,22.3309665762768,43.47629796839729,7.352991417050362,0.8797893956966094,0.1295454545454545,0.4700854700854701,,-0.34054001554001556
19,CoTracker3,strong,63.7599093997735,0.2257336343115124,0.1647446457990115,0.6772009029345373,0.33003300330033,6.772009029345373,4.4673539518900345,18.058690744920995,11.151736745886655,48.75846501128668,22.08835341365462,7.64044435210613,14.89841986455982,3.653834770123164,0.4503699479967776,0.0477272727272727,0.6388888888888888,,-0.5911616161616161
20,CoTracker3,none,96.52173913043478,40.65573770491803,25.40983606557377,52.78688524590164,35.59822747415066,69.94535519125684,52.36514522821577,82.73224043715847,67.51824817518248,92.02185792349728,81.60237388724035,52.498766166072606,67.62841530054644,13.02127170562744,0.9529995770444738,0.0978723404255319,0.0180851063829787,,0.0797872340425532
20,CoTracker3,medium,97.3913043478261,27.43169398907104,15.802781289506951,48.63387978142077,31.79856115107913,63.934426229508205,46.56,78.0327868852459,63.13446126447017,90.05464480874316,80.84896347482726,47.6289534359767,61.61748633879783,10.062451362609863,0.766657777418609,0.0680851063829787,0.0148936170212765,,0.0531914893617022
20,CoTracker3,strong,85.21739130434783,4.808743169398907,2.491506228765572,18.36065573770492,10.097323600973237,41.63934426229508,25.25951557093425,61.53005464480874,41.07560405300078,75.30054644808743,52.87162162162162,26.35911421505909,40.32786885245901,7.452629566192627,0.6115941606945906,0.3191489361702128,0.101063829787234,,0.2180851063829788
21,CoTracker3,none,95.8128078817734,70.19704433497537,55.780535597648594,85.0574712643678,75.88495575221239,98.60426929392446,94.53507340946167,100.0,95.8128078817734,100.0,95.8128078817734,83.5652361045739,90.77175697865354,6.906656265258789,0.9872556581603488,0.0,0.0410297666934835,,-0.0410297666934835
21,CoTracker3,medium,71.10016420361248,27.42200328407225,17.2103487064117,55.993431855500816,36.92509855453351,82.84072249589491,61.80124223602485,99.42528735632185,71.10016420361248,100.0,71.10016420361248,51.627403580838994,73.13628899835797,7.2158355712890625,1.0330045280139355,0.0,0.2831858407079646,,-0.2831858407079646
21,CoTracker3,strong,37.27422003284072,1.2315270935960592,0.4807692307692308,6.814449917898194,2.892307692307692,26.108374384236456,13.896457765667575,50.41050903119869,27.24505327245053,86.69950738916256,35.9349593495935,16.089909462157706,34.252873563218394,7.102700233459473,1.014893001285066,0.0,0.6146419951729686,,-0.6146419951729686
22,CoTracker3,none,73.93589069889647,31.909547738693465,17.945823927765236,68.25795644891123,44.53665283540803,90.20100502512562,60.6456571867794,95.142378559464,61.63959783449343,100.0,61.63959783449343,49.28146592378791,77.10217755443887,5.839599609375,0.9766541932052328,0.1396332863187588,0.3256767842493847,,-0.18604349793062588
22,CoTracker3,medium,62.27009984235418,17.75544388609715,9.159347553324968,48.15745393634841,21.763470958712382,81.82579564489112,36.68499607227022,94.2211055276382,40.43583535108959,99.91624790619764,41.57851912123678,29.92443381132679,68.37520938023451,5.578765392303467,0.9339744069074598,0.0493653032440056,0.5602953240360952,,-0.5109300207920896
22,CoTracker3,strong,49.605885444035735,3.1825795644891124,0.6939625260235947,12.562814070351758,3.716940671908506,36.18090452261307,9.262048192771084,77.21943048576215,17.96747967479675,99.32998324958125,20.414937759336095,10.411073764967208,45.69514237855946,5.9048752784729,0.9723237215738876,0.0155148095909732,0.7776866283839212,,-0.762171818792948
23,CoTracker3,none,87.11458812701335,47.95252225519288,32.600422832980975,79.34718100890208,67.07511987213638,90.08902077151336,78.5876993166287,95.07418397626112,83.28462887200467,96.9139465875371,83.60655737704919,69.03088565415999,81.87537091988129,6.73985481262207,1.0628580091517204,0.0471311475409836,0.1502923976608187,,-0.1031612501198351
